"n. 现实,实际,真实",他似乎是个万事通。其实他是再愚蠢不过了。,"现实中, 事情总是出乎意料地发生。",现行的教育制度和现实并不一致。,,,,,,,,,
,,,,,,,,,,,,
designer,"He is a teacher, and she (is) a designer.",Her wedding apparel is made by a very famous fashion designer.,The dress designer measured her client for her new clothes.,,,,,,,,,
n. 设计者,他是一位老师，她是一位设计师。,她的结婚礼服是由一位非常著名的时装设计师制作的。,服装设计师为她的顾客量体裁衣.,,,,,,,,,
,,,,,,,,,,,,
personal,I have something personal to discuss with you.,"Like their personal lives, women's history is fragmented, interrupted
                                                        
                                                    ",Personal cleanliness is important to health as well as to appearance.,,,,,,,,,
"adj. 私人的,个人的
n. (报刊的)私人专栏",我有点私事和你商量。,“如同她们的个人生活一样，妇女的历史是支离破碎的且中断的”,个人清洁对于健康和仪表同样重要。,,,,,,,,,
,,,,,,,,,,,,
personally,I thanked them personally.,"He chose Germany, but personally I'd prefer to go to Spain.","Personally, I like blue best.",,,,,,,,,
"adv. 亲自地, 以个人, 就自己而言",我亲自感谢他们,他选择了德国，而我个人倒更喜欢西班牙。,我个人最喜欢蓝色。,,,,,,,,,
,,,,,,,,,,,,
tube,Suck on the tube to draw up the water.,This tube is flexible but tough.,a bronchial tube.,,,,,,,,,
"n. 地铁,电子管,显像管,管,软管;电视",用管子把水吸上来.,这管子柔软但很坚固。,支气管,,,,,,,,,
,,,,,,,,,,,,
transistor,A transistor radio.,The old man always carries about a transistor.,A new type of transistor radio has been brought out in that factory.,,,,,,,,,
n. 晶体管，晶体管收音机,晶体管收音机,这位老人总是随身携带一台晶体管收音机。,那家工厂生产了一种新型的半导体收音机。,,,,,,,,,
,,,,,,,,,,,,
chip,If everyone chips in we'll be able to buy her a really nice leaving present.,The paint has chipped off where the table touches the wall.,The entire content of a book will be located on a single silicon chip.,,,,,,,,,
"n. 薄片,碎屑，芯片
vt. 削,切,削成碎片
vi. 折断成碎片","若每个人都凑些钱, 就能真正给她买件好的送别礼物.",桌子接触墙壁的地方漆皮已剥落。,整本书的内容只用一片硅芯片就可以装下。,,,,,,,,,
,,,,,,,,,,,,
as a result,He lost his job as a result of the dispute.,"As a result, we have to water the vegetable garden.",He was late as a result of the snow.,,,,,,,,,
 结果,"由于这次争端,他的工作丢掉了.",因此我们不得不给菜地浇水。,由于大雪他迟到了。,,,,,,,,,
,,,,,,,,,,,,
total,I'm afraid that the performance was not a total success.,We have debts totaling 5000 dollars.,Add this numbers together and give me the total.,,,,,,,,,
"adj. 总计的（金额等）； 全部的； 完全的； 绝对的
n. 总计，总数； 全体数量
vt./vi. 总计达，计算…的总数",在我看来，这次演出恐怕不能算是完全成功的。,我们的债务总计为五千美元。,把这些数字加起来，告诉我总数是多少。,,,,,,,,,
,,,,,,,,,,,,
totally,The rampart was destroyed totally.,I am totally bewildered by the clues to this crossword puzzle.,He immersed himself totally in his work.,,,,,,,,,
adv. 完全,壁垒被彻底摧毁了。,这个纵横字谜的提示完全把我弄糊涂了.,他埋头于工作。,,,,,,,,,
,,,,,,,,,,,,
so that,"I study hard, so that I may not fail in the examinations.",We turned on the light so that we might see what it was.,Bring it closer so that I may see it better.,,,,,,,,,
conj. 以便(以致),我用功，免得考不及格。,我们把灯打开，以便看看它是什么。,把它拿近点儿，让我看看仔细。,,,,,,,,,
,,,,,,,,,,,,
network,Under the mountain there is a network of caves.,The fabrics are merchandised through a network of dealers.,She gave me a diagram of railway network.,,,,,,,,,
"n. 网络,系统,广播网
vt. 用网覆盖,联网
vi. 加入网络",这座山里有许多相通的洞穴.,通过经销网点销售纺织品.,她给了我一张铁路网图解。,,,,,,,,,
,,,,,,,,,,,,
web,The handbook is available on the Web.,I caught in a web of lies.,He was enmeshed in a web of deceit and lies.,,,,,,,,,
n. 网,这本手册互联网上有。,我陷入了谎言的罗网,他陷入坑蒙拐骗的圈套.,,,,,,,,,
,,,,,,,,,,,,
application,I didn't receive an acknowledgement of my application.,Geometry has practical application in aviation and navigation.,The committee were unanimous that the application should be turned down.,,,,,,,,,
n. 适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药,对我的申请，我还没有收到回信。,几何学在航空和航海中有其实用性,委员会一致同意拒绝这项申请。,,,,,,,,,
,,,,,,,,,,,,
finance,The report recommends an overhaul of public finances.,The fund has been used largely to finance schools.,A former Finance Minister and five senior civil servants are accused of fraud.,,,,,,,,,
"n. 财政, 资金
vt. 给...提供资金, 负担经费",该报告建议对公共财政进行彻底改革。,该基金大部分用于了资助学校。,一名前财政大臣和五名高级公务员被指控诈骗。,,,,,,,,,
,,,,,,,,,,,,
mobile,I'm still very mobile.,The old lady sits on a mobile chair every morning.,She is much more mobile now that she has a car.,,,,,,,,,
"adj. 可移动的,易变的,迁徙的, 流动的 n. (可随风飘动的)悬挂装置, 可动雕塑
n. 美国亚拉巴马州南端港口城市莫比尔（Mobile）",我仍然行动自如。,那位老妇人每天上午都坐在一把活动椅上。,有了一辆车后，她现在出去方便多了。,,,,,,,,,
,,,,,,,,,,,,
rocket,The first-stage vehicle is used to launch the rocket and is then jettisoned in the upper atmosphere.,Scientists have computed the probable course of the rocket.,A rocket manned by trained astronauts will launch soon.,,,,,,,,,
"n. 火箭, 烟火
v. 发射火箭, 猛涨","第一级运载火箭是用来发射火箭的, 进入高层大气後即抛掉.",科学家利用计算机计算了火箭可能运行的轨道。,载有受过训练的宇航员的火箭马上就要发射了。,,,,,,,,,
,,,,,,,,,,,,
explore,"Can you explore the market possibility for us?
                                                        
                                                    ",He had an itch to get away and explore.,explore every possibility.,,,,,,,,,
"vt./vi. 探险,探测,探究",您能为我们考察一下市场前景吗？,他等不及要动身去探险。,系统地研究每一个可能性,,,,,,,,,
,,,,,,,,,,,,
Mars,"The planets of our solar system are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune.","Is there life on Mars?
                                                        
                                                    ",Mars was the Roman god of war.,,,,,,,,,
n. 火星,我们太阳系的行星有水星、金星、地球、火星、木星、土星、天王星、海王星。,火星上有生物吗?,马尔斯是罗马的战神.,,,,,,,,,
,,,,,,,,,,,,
goal,That's the twentieth goal he's kicked this season.,That last goal was a beauty.,He shouldered off a defender and shot at goal.,,,,,,,,,
n. 目标，目的； 球门； 终点；,这是他本赛季踢进的第二十个球.,最後进去的那个球真漂亮。,"他用肩膀挡开防守队员,然后射门.",,,,,,,,,
,,,,,,,,,,,,
happiness,Money doesn't always bring happiness.,Her happiness at seeing him submerged her former worries.,The accident cast a blight on our happiness.,,,,,,,,,
"n. 快乐,幸福,适当",财富并不一定带来快乐。,她看到他非常高兴，顿时完全忘记了先前的烦恼。,那场意外事故使我们的幸福生活蒙上了一层阴影。,,,,,,,,,
,,,,,,,,,,,,
human race,I do not regard a broker as a member of the human race.,Everything you say seems to be pervaded with a mistrust of the human race.,A full-scale nuclear war could lead to the annihilation of the human race.,,,,,,,,,
 人类,我不把经纪人当作是人类的一个成员。,你说的一切似乎都渗透了对人类的不信任。,全面的核子战争能导致人类的灭绝。,,,,,,,,,
,,,,,,,,,,,,
supporting,The movie featured Robert Lindsay in a supporting role .,"They say he's certain to get a nomination for best supporting actor
                                                        
                                                    ","supporting plate
                                                        
                                                    ",,,,,,,,,
adj. （演员、角色）配角的，次要的; 支持的；辅助性的,,Users can download their material to a desktop PC.,Users can download their material to a desktop PC back in the office.,,,,,,,,,
v. 下载,用户可以把资料下载到台式机上。,用户们可以将他们的资料下载到办公室的台式计算机上。,从运输飞机卸下货物,,,,,,,,,
,,,,,,,,,,,,
programmer,Text in a program that does not function in the program itself but is used by the programmer to explain instructions.,"Thank you for your letter of May 25, in which you offer me a position of computer programmer.",The programmer come up with a solution to the system problem.,,,,,,,,,
"n. 程序员, 程序规划员 ,节目编排者",注释，注解程序中的文本，在程序自身中没有功能，但由程序员去使用来解释指令,谢谢您5月25日来信聘我做计算机程序设计员。,程序员想出了一个解决系统问题的办法。,,,,,,,,,
,,,,,,,,,,,,
virus,The identification of rabies virus has saved many lives.,"If the virus cannot replicate itself, it cannot cause illness.",Scientists have isolated the virus causing the epidemic.,,,,,,,,,
"n. 病毒, 毒素, 有害的事物",狂犬病病毒的确认挽救了许多人的性命。,"如果病毒不能变异, 也就不能够诱发疾病了。",科学家们已分离出引起这种流行病的病毒。,,,,,,,,,
,,,,,,,,,,,,
android,"In Android,you can share something with any service that has its app installed
                                                        
                                                    ","android type
                                                        
                                                    ",,,,,,,,,,
n. （故事中的）机器人,在安卓系统中，你可以和任何安有应用的设备进行共享,男型,,,,,,,,,,
,,,,,,,,,,,,
signal,I corrected my watch by the time signal.,Her speech yesterday was a signal that her views have changed.,"Is this announcement the signal of better times ahead?
                                                        
                                                    ",,,,,,,,,
"n. 信号,导火线,动机
vt. 发信号,标志
vi. 发信号
adj. 显著的",我按报时信号校正我的表。,她昨天的讲话标志著她的观点已经转变。,宣布的这件事是否预示往後日子越过越好了？,,,,,,,,,
,,,,,,,,,,,,
teammate,A fielding and throwing of a baseball in such a way that enables a teammate to put out a runner.,A pass of a basketball or an ice hockey puck that enables a teammate to score a goal.,A runner who intentionally sets a fast pace for a teammate during a long-distance race.,,,,,,,,,
n. 队友,助杀，助攻能使同队伙伴击败另一击球者将垒球掷于地或抛出,助杀，助攻在篮球赛或冰球比赛中传球以使同队伙伴进球得分,带跑队员在长距离竞赛中故意为某一队友设定较快速度的选手,,,,,,,,,
,,,,,,,,,,,,
type,He was the perfect type of a military dandy.,A mammoth is a large hairy type of elephant in ancient times.,Blue jay is a type of noisy European bird with brightly colored feathers.,,,,,,,,,
"n. 类型； 铅字； （印刷或打印的）文字； 于…类型的
vt./vi. 打字
vt. [医学]测定（血型）； 按类型把…归类； 成为…的典型； [印刷]浇铸（铅字等）",他是优秀军人的完美典范。,猛犸是古代一种身体庞大、长着长毛的大象。,樫鸟是一种爱叫的欧洲鸟，有鲜艳的羽毛。,,,,,,,,,
,,,,,,,,,,,,
in a way,The scheme rebounded on her in a way she had not expected.,The work is well done in a way.,You should dress in a way that befits a woman of your position.,,,,,,,,,
 在某种程度上，在某种意义上；在某一方面，可以这么说,她未曾想到这计谋反倒使她自食其果.,这工作就算做得不错。,你的衣着应与你这种地位的妇女相称。,,,,,,,,,
,,,,,,,,,,,,
coach,I had made on the coach a good impression when I went out for volleyball.,The coach is bringing on some girls in the reserve team.,He is not so much a player as a coach.,,,,,,,,,
"n. 大巴, 教练; (火车)客车车厢, 四轮马车, 经济舱
vt. 训练, 指导
vi. 训练, 指导",我申请加入排球队时给教练留下了良好的印象。,教练正教导预备队的女孩们。,"与其说他是个队员, 不如说他是个教练。",,,,,,,,,
,,,,,,,,,,,,
arise,An opportunity has arisen.,Accidents often arise from carelessness.,"The problem may not arise, but there's no harm in keeping our powder dry.",,,,,,,,,
"vi. 上升,引起,出现",机会来了。,事故往往起因于粗心。,"问题不一定会发生, 但有备无患并无害处.",,,,,,,,,
,,,,,,,,,,,,
with the help of,"i win the game with the help of my brother
                                                        
                                                    ",I grew as brave child with the help of you.,"with the help of jim,he finally completed the task
                                                        
                                                    ",,,,,,,,,
 在...的帮助下,在我哥哥的帮助下我在游戏中获胜,在你的帮助下我成长为勇敢的孩子。,在jim的帮助下，他终于完成了任务,,,,,,,,,
,,,,,,,,,,,,
electronic,The firm is Britain's main producer of electronic equipment.,I like to read books on electronic music.,The machine is operated by an electronic pulse.,,,,,,,,,
adj. 电子的； 电子操纵的； 用电子设备生产的； 用电子设备完成的,该公司为英国主要的电子设备制造厂家.,我喜欢读一些关于电子音乐的书。,这台机器由电子脉冲信号操纵.,,,,,,,,,
,,,,,,,,,,,,
appearance,"I don't want to go to the party but I'd better put in an appearance, I suppose.",The journal makes its appearance once two months.,We should not judge a person by his appearance.,,,,,,,,,
"n. 外表,出现,出场",我不想参加那个聚会，可是我最好还是要露一下面。,这本刊物两个月出版一次。,我们不应该以貌取人。,,,,,,,,,
,,,,,,,,,,,,
character,It is out of character to do that.,He is firm in character.,The statements were of political character.,,,,,,,,,
"n. 个性, 品质; 字符; 人物; 名誉; 地位",那样做不合适。,他性格坚强。,这种声明具有政治性质。,,,,,,,,,
,,,,,,,,,,,,
mop,Here is a dish mop.,She mops her tears with a towel.,I have to mop the kitchen floor at least once a day.,,,,,,,,,
"n. 拖把,像拖把一样乱蓬蓬的东西
vt. 用拖把拖,擦拭
vi. 用拖把拖",这儿是洗碗刷。,她用毛巾擦眼泪。,我每天至少要把厨房地板擦洗一次。,,,,,,,,,
,,,,,,,,,,,,
deal with,I think we should work out a strategy to deal with this situation.,She has a lot of correspondence to deal with.,They refused to compromise their principles by doing a deal with the terrorists.,,,,,,,,,
" 讨论, 处理, 涉及，对付，与...做生意",我想我们应该制订出一项行动计划，用来对付这种情况。,她有大批信件需要处理.,他们拒绝同恐怖分子做交易，以免原则受到损害。,,,,,,,,,
,,,,,,,,,,,,
watch over,"An expert swimmer trained and employed to watch over other swimmers, as at a beach or swimming pool.","Would you please watch over my booth?
                                                        
                                                    ",The soldiers were keeping close watch over the enemies.,,,,,,,,,
 看守，监视，照管,救生员经过训练的游泳专家，受雇照看其他的游泳者，例如在海滩上或游泳池旁,请您照料一下我的摊位好吗?,士兵们严密注意着敌人的行动。,,,,,,,,,
,,,,,,,,,,,,
naughty,His dog scared that naughty boy away.,This naughty boy is really troublesome.,The naughty boy hid the books in the shrub.,,,,,,,,,
"adj. 顽皮的,淘气的，粗俗的",他的狗把那个顽皮的孩子吓走了。,这个淘气的男孩子真是惹人烦。,这个淘气的孩子把书藏在了灌木丛里。,,,,,,,,,
,,,,,,,,,,,,
niece,My niece is a little devil.,The girl standing in the front row is my niece.,You should take care of your niece for the sake of your sister.,,,,,,,,,
"n. 侄女,外甥女,教士的私生女",我的侄女是个调皮鬼.,站在前排的少女是我的侄女。,"看在姐妹的份上, 你应该照顾你的侄女。",,,,,,,,,
,,,,,,,,,,,,
spoil,A fond mother may spoil her child.,He's spoiling for trouble.,The children kept quarreling and spoiled our holiday.,,,,,,,,,
"n. 战利品, 奖品
v. 宠坏, 溺爱; 破坏, 损坏；腐坏，使索然无味",溺爱的母亲可能会宠坏她的孩子。,他憋足了劲儿要找麻烦。,孩子们不断吵架，破坏了我们的假期。,,,,,,,,,
,,,,,,,,,,,,
Unit,Cubit is an ancient unit of length.,This textbook has twenty units.,There's a rumour floating around of a new job in the unit.,,,,,,,,,
"n. 单位, 单元",腕尺是古代的一种长度单位。,这本课本有二十单元。,这个部门盛传有个新工作要聘人.,,,,,,,,,
,,,,,,,,,,,,
wildlife,This area was once a wildlife reserve.,Hunters are barred from wildlife sanctuaries.,Our community is a leader in the conservation of wildlife.,,,,,,,,,
n. 野生动物,该地区曾是一个野生动物保护区.,野生动物保护区内禁止狩猎。,我们社区在野生动物保护方面走在前头。,,,,,,,,,
,,,,,,,,,,,,
protection,The young in our society need care and protection.,He's devoted his whole life to the protection of the rare animals.,We subscribe to an animal protection society.,,,,,,,,,
"n. 保护,防卫",我们社会的年轻人需要受到关怀和爱护.,他终生献身于珍稀动物的保护。,我们定期捐款给一个动物保护基金会。,,,,,,,,,
,,,,,,,,,,,,
habitat,The moth's habitat is being destroyed and it has nearly died out.,"I prefer to see animals in their natural habitat, rather than in zoos.",The polar bear's habitat is the icy waters of the Arctic.,,,,,,,,,
"n. (动植物的)产地,栖息地",这种蛾子因栖息地正受到破坏，几乎绝种了。,我宁愿观赏居住在自然栖息地里的动物，而不愿看关在动物园里的动物。,北极熊的栖息地是冰冷的北极海域。,,,,,,,,,
,,,,,,,,,,,,
threaten,The strikers were threatened with dismissal if they did not return to work.,While danger threatens we must all be on guard.,The black clouds threatened rain.,,,,,,,,,
"vt./vi. 威胁,构成威胁",罢工者受到威胁说，如果他们不复工，就会被解雇。,危险正逼近，我们必须保持警惕。,乌云密布预示着将要下雨。,,,,,,,,,
,,,,,,,,,,,,
decrease,There has been a steady decrease in population in this city.,They are making further efforts to decrease military spending.,His interest in this subject gradually decreases.,,,,,,,,,
"n. 减少(量),降低
vt./vi. 减少,降低",这个城市的人口在持续下降。,他们正在做进一步的努力来减少军费开支。,他对这门学科的兴趣逐渐减退。,,,,,,,,,
,,,,,,,,,,,,
endanger,If you have anything to do with such a scheme you'll endanger your good name and probably lose your money into the bargain.,"If we falter in our leadership, we may endanger the peace of the world, and we shall surely endanger the welfare of this nation.",He took over the post in the knowledge that it might endanger his life.,,,,,,,,,
vt. 危及，危害,如果你与这样一个阴谋案件有所牵连的话，你就有身败名裂的危险，说不定还要倾家荡产哩！,如果我们的领导地位动摇了，不仅会危害世界的和平，而且一定会危害国家的安定。,他在明知他的性命有可能受到威胁的情况下接任了那职位。,,,,,,,,,
,,,,,,,,,,,,
die out,Many old customs are dying out.,No one have come up with a convincing explanation of why dinosaur die out.,"Second, companies are exerting greater control by building “walled gardens”—an approach that appeared to have died out a decade ago.",,,,,,,,,
" 消失, 灭绝",很多古老的习俗正在消失。,尚未有人能对恐龙的灭绝作出一个令人信服的解释。,第二，公司施加更严格的管制，通过“围墙花园”——一种似乎十年前就已经绝迹的方式。,,,,,,,,,
,,,,,,,,,,,,
loss,His costly mistake resulted in severe loss.,This wounded soldier was unconscious from his loss of blood.,It was a great loss to us all.,,,,,,,,,
"n. 丧失, 损耗, 亏损",他的严重的错误导致了重大的损失。,这名伤员由于失血过多而昏迷不醒。,这对我们所有人来说都是一个巨大的损失。,,,,,,,,,
,,,,,,,,,,,,
reserve,We'll reserve the ticket for you till tomorrow noon.,Please reserve a seat for me.,He still reserved his opinion on some points.,,,,,,,,,
"n. 预备品, 贮存, 候补
n. 克制, 含蓄
vt. 保留, 预订, 延期",票为您保留到明天中午。,请为我预定一个座位。,在一些问题上，他仍然保留自己的意见。,,,,,,,,,
,,,,,,,,,,,,
hunt,Winter is the best time for hunting in mountain areas.,Wolves hunt in packs.,The huntsman and I hunt the animals out of the garden.,,,,,,,,,
"n. 狩猎, 追捕, 搜寻
v. 狩猎, 打猎, 搜索",冬季是山区狩猎的最佳时间。,狼总是成群猎食.,猎人和我把动物赶出花园。,,,,,,,,,
,,,,,,,,,,,,
zone,Supplies were parachuted into the earthquake zone.,Wrestling is in a twilight zone between sport and entertainment.,They are pulling their troops out of the battle zone.,,,,,,,,,
"n. 地域,地带,地区
vt. 划分成带, 标出或指定成区, 用腰带围绕
adj. 地区性的, 地域上的",救援物资已空投到地震区.,摔交是介於运动和娱乐两者之间的活动.,他们正把部队调离战区.,,,,,,,,,
,,,,,,,,,,,,
in peace,The two communities live together in peace (with one another).,May he rest (ie lie in his grave) in peace.,All the villagers live together in peace.,,,,,,,,,
 平静地，处于平静状态,这两个社区和平相处.,愿他安息.,所有村民都和睦相处。,,,,,,,,,
,,,,,,,,,,,,
in danger of,He was in danger of losing his life.,The union is in danger of overplaying its hand in the current dispute.,Don't apply for that job: you're in danger of overreaching yourself.,,,,,,,,,
 有 ... 的危险,他有失去生命的危险。,工会在目前纠纷中高估自己实力有失败之虞。,不要申请那份工作，以免有不自量力之嫌。,,,,,,,,,
,,,,,,,,,,,,
species,There are several thousand species of trees here.,Pandas are an endangered species.,There are several thousand species of trees here.,,,,,,,,,
"n. [生物] 物种；种类
adj. 物种上的",这里有几千种树。,大熊猫是一种濒危物种。,"There are several thousand species of trees here.	",,,,,,,,,
,,,,,,,,,,,,
carpet,He picked the watch up from the carpet.,This carpet is of Russian style.,The carpet will stand any amount of wear.,,,,,,,,,
"n. 地毯,毛毯
vt. 铺以地毯,铺盖",他从地毯上把表捡起来。,这块地毯是俄国风格的。,这地毯极其耐用。,,,,,,,,,
,,,,,,,,,,,,
respond,The patient has responded rapidly to the treatment.,I invited her to dinner but she did not respond.,He failed to respond to the medicine.,,,,,,,,,
"vi./vt. 回复,反应，响应，应答
n. 拱柱",病人在治疗后立刻有起色,我请她吃晚饭，但她未作回答。,他服了这药未见起色。,,,,,,,,,
,,,,,,,,,,,,
distant,The mountains rolled away to a distant horizon.,We could hear the distant drone of the traffic.,"There is little doubt, however, that things will improve in the not too distant future.",,,,,,,,,
"adj. 遥远的,疏远的，远房的，陌生的，远行的",群山绵延至遥远的天边。,我们可以听到远处传来的车辆往来的嗡嗡声。,然而毋庸置疑的是，事情在不远的将来会有改观。,,,,,,,,,
,,,,,,,,,,,,
fur,He put on a coat with a fur lining.,She bought a coat with reddish fur.,The lady appeared with a luxurious fur coat.,,,,,,,,,
"n. 毛皮服饰,毛皮制品,毛皮",他穿上一件有毛皮衬里的外衣。,她买了一件略带红色皮毛的衣服。,那位夫人穿着华贵的毛皮外套来了。,,,,,,,,,
,,,,,,,,,,,,
antelope,"The adult male of some animals, such as the deer, antelope, or rabbit.","He aimed, fired and brought down the antelope.","As king,you need to understand that balance and respect all creatures from the clewing ant to the leaping antelope.",,,,,,,,,
n. 羚羊，羚羊皮革,雄性动物成年的雄性动物，如雄鹿、公羊、猎兔等,"他瞄准羚羊射击, 把它打倒了.",身为国王，你不但要了解那种平衡，还要尊重所有的生物，从爬行的蚂蚁到跳跃的羚羊。,,,,,,,,,
,,,,,,,,,,,,
relief,It is a great relief to have rain after a long time of drought.,"What a relief!
                                                        
                                                    ",We all heaved a sigh of relief when we heard that they were safe.,,,,,,,,,
n. 宽慰，安心； 免除，减轻； 救援物资； 代班人,长期的乾旱之后有雨是一大慰藉。,真叫人宽慰!,当我们听说他们平安无事时，都松了一口气。,,,,,,,,,
,,,,,,,,,,,,
in relief,He saw the tower in relief against the sky.,The ancient pagoda stood out in relief against the dawn.,"Chandler and Joey hug each other in relief
                                                        
                                                    ",,,,,,,,,
" 浮雕一般, 鲜明地, 显著地, 松了口气",他看到那塔耸立在空中，轮廓十分鲜明。,那座古塔在晨曦的辉映下轮廓分外鲜明。,松了口气,,,,,,,,,
,,,,,,,,,,,,
laughter,Her funny costume caused much mirthful laughter among the guests.,The room echoed with their happy laughter.,There was a burst of laughter in the next room.,,,,,,,,,
"n. 笑, 笑声",她那滑稽的服装引得客人哄堂大笑。,房间里回荡着他们的欢笑声。,隔壁房间里突然爆发出一阵笑声。,,,,,,,,,
,,,,,,,,,,,,
burst into laughter,They burst into laughter.,All the classmates burst into laughter when David acted out the episode.,They burst into laughter and hung on each other's shoulders for support.,,,,,,,,,
 突然大笑,他们突然大笑起来.,当戴维表演完那段插曲时，全班同学都捧腹大笑。,"她们不由得前俯后仰地大笑起来,彼此靠着肩膀才没有倒下去.",,,,,,,,,
,,,,,,,,,,,,
mercy,The prisoner appealed to the judge for mercy.,A monarch has the prerogative of mercy for criminals.,He begged mercy (of the king).,,,,,,,,,
"n. 怜悯, 宽恕, 仁慈, 恩惠, 幸运",囚犯恳求法官开恩。,君主享有对罪犯的赦免权。,他祈求（国王）宽恕.,,,,,,,,,
,,,,,,,,,,,,
certain,For certain reasons I will be unable to attend the meeting.,I can't say for certain when he will arrive.,It's certain that every effect must have a cause.,,,,,,,,,
"adj. 一定的
pron. 某几个,某些",因为某种原因，我不能出席这次会议。,我说不准他什么时候会来。,无疑，每个结果必定有其原因。,,,,,,,,,
,,,,,,,,,,,,
importance,What was said was of prime importance.,He has an exaggerated idea of his own importance.,He emphasized the importance of careful driving.,,,,,,,,,
"n. 重要,重要性",说过的那件事是很重要的。,他自视过高。,他强调小心驾驶的重要性。,,,,,,,,,
,,,,,,,,,,,,
rub,In his job he's rubbing shoulders with film stars all the time.,Please give the table a good rub with this cloth.,He rubbed his hands to keep them warm.,,,,,,,,,
"n. 摩擦,困难,障碍
vt. 擦, 搓, 涂抹上, 使不愉快
vi. 摩擦",他在工作中一直与电影明星有来往。,请用这块布好好擦擦桌子。,他揉搓着双手来取暖。,,,,,,,,,
,,,,,,,,,,,,
mosquito,"Are your mosquito bites still itching?
                                                        
                                                    ",The mosquito is a transmitter of disease.,The mosquito will suck our blood.,,,,,,,,,
n. 蚊子,你被蚊子咬的地方还在痒吗？,蚊子能传染疾病.,蚊子会吸我们的血。,,,,,,,,,
,,,,,,,,,,,,
millipede,"It is noteworthy that despite their name, no millipede has more than 750 feet.","Does the millipede really exist?
                                                        
                                                    ","is millipede a kind of  insect?
                                                        
                                                    ",,,,,,,,,
"n. 百足虫, 马陆",值得注意的是，尽管他们的名字，没有千足虫已超过750英尺。,百足虫真的存在吗？,百足虫是一种昆虫吗？,,,,,,,,,
,,,,,,,,,,,,
insect,He was bitten by an insect in the garden.,She stamped on the insect and killed it.,"Do you think butterfly is a type of insect?
                                                        
                                                    ",,,,,,,,,
n. 昆虫,他在花园里被虫子咬了一口.,她踩死了一只虫子。,你认为蝴蝶是一种昆虫 吗 ?,,,,,,,,,
,,,,,,,,,,,,
contain,The atlas contains forty maps.,"Try to contain your anger!
                                                        
                                                    ",This book contains all the information you need.,,,,,,,,,
"vt. 包含,容纳,克制,抑制
vi. 自制",这个地图集有四十幅地图。,设法抑制你的怒火！,这本书包含你所需的一切资料。,,,,,,,,,
,,,,,,,,,,,,
powerful,She redeemed her reputation with a powerful speech to the party convention.,This athlete has a powerful frame.,The chancellor is the most powerful man in the Austrian government.,,,,,,,,,
adj. 强有力的,她由于向党代表大会做了有力的演说而挽回了自己的声誉。,这位运动员有着魁梧的体格。,首相是奥地利政府最有实权的人。,,,,,,,,,
,,,,,,,,,,,,
affect,It doesn't affect my judgement one jot.,He was much affected by the sad news.,I had to make important decisions that would affect me for the rest of my life.,,,,,,,,,
"vt. 影响, 作用, 感动",这丝毫不会影响我的判断。,这个悲惨的消息使他非常难过。,我不得不作出将影响我后半生的重大决定。,,,,,,,,,
,,,,,,,,,,,,
attention,He waved his hand to catch my attention.,You should focus your attention on your work.,"May I have your attention please?
                                                        
                                                    ",,,,,,,,,
"n. 注意(力),关心,立正",他挥手以吸引我的注意力。,你应该把注意力放到工作上。,请大家注意一下。,,,,,,,,,
,,,,,,,,,,,,
pay attention to,You must pay attention to your study.,I hope you will pay attention to this problem.,"pay one's attention to
                                                        
                                                    ",,,,,,,,,
 注意，留意,你必须专心学习。,希望你对此给予关注。,對某人獻殷勤,,,,,,,,,
,,,,,,,,,,,,
appreciate,I really appreciate your help.,"The happiest are not those who own all the best things, but those who can appreciate the beauty of life.","As students so far from home, we have learned to appreciate those of life's pleasures that are not readily available at home.",,,,,,,,,
"vt. 欣赏,感激,赏识
vt. 领会，充分意识
vi. 增值",我真的很感激你的帮助。,最幸福的人们并不一定什么都是最好，只是他们懂得欣赏生活的美好。,作为远离家乡的学子，我们已懂得如何欣赏那些在国内难以获得的生活中的乐趣。,,,,,,,,,
,,,,,,,,,,,,
succeed,"I won the essay prize, then was offered a scholarship: nothing succeeds like success!
                                                        
                                                    ","Our plan succeeded, and soon we were in complete control.",She succeeded to the throne.,,,,,,,,,
"vt. 成功,继承,继续
vi. 接替,有作为",我的作文得了奖，接著就获得了奖学金，真是一顺百顺！,我们的计划顺利完成了，于是我们很快就控制了局面。,她继承了王位,,,,,,,,,
,,,,,,,,,,,,
rhino,"it is rhino
                                                        
                                                    ","look that is rhino
                                                        
                                                    ","endangered elephants and rhinos
                                                        
                                                    ",,,,,,,,,
"n. (非正式）犀牛
n. &lt;俚&gt; 钱, 现金",这是犀牛,瞧 那是犀牛,濒危的大象和犀牛,,,,,,,,,
,,,,,,,,,,,,
secure,The little boy felt secure near his parents.,It may be many years before the new company can gain a secure foothold in the market.,Make the windows secure before leaving the house.,,,,,,,,,
"adj. 安全的； 牢固的； 有把握的； 安心的
vt. 保护； （使）获得； 使安全； 担保
vi. 获得安全，变得安全； 安全，保险； 承保，担保； [航海学]停止工作",那小男孩在父母身边感到安心。,也许要经过若干年这家新公司才能在市场上取得稳固的立足点。,出门之前把窗户关严。,,,,,,,,,
,,,,,,,,,,,,
income,The money I got was a useful supplement to my ordinary income.,His income is well below the average.,The Inland Revenue is responsible for collecting income tax.,,,,,,,,,
